,Al Asimah Governorate,Al Jahra Governorate,Al Farwaniya Governorate,Hawalli Governorate,Mubarak Al-Kabeer Governorate,Al Ahmadi Governorate
,Kuwait City,Salwa,Abraq Khaitan,Hawally,Al Adan,Al Fintas
,Dasma,Um Ghara,Al Andalus,Al Sha'ab,Al Qusoor,Al Aqeelah
,Al Sharq,Al Naeem,Ashbeliya,Al Salimiyah,Al Qurain,Al Zahra
,Al Sawaber,Al Qasr,Jleeb Al-Shuyoukh,Al Rumaithiya,Da'ahiya Sabah Al-Salem,Al Muqwa
,Al Mirqab,Al Wahda,Khaitan,Al Jabriya,Al Maseela,Al Mahboula
,Al Qibla,Taimaa,Khaitan Al-Jadeedah,Mushrif,Al Masaile,Al Raqqa
,Al Salhiya,Al Naseem,Al Omariya,Bayan,Abu Futaira,Hadiya
,Al Watyah,Al Ayoun,Al Aardeyah,Al-Bid'a,Abu Al Hasaniya,Abu Hleifah
,Bnaid Al-Qar,Al Qusairiyah,Al Aardeyah Al-Sanaiyah,Al Nuqrah,Sabhan,Al-Sabahiyah
,Keifan,Al Abdlie,Al Abbasiyah,Meidan Hawally,Al Fnaitees,Al Minaq
,Al Doha,Al Jahra Old,Al Ferdous,Dehayat Mubarak Al-Abdullah Al-Jaber,Dehayat Mubarak Al-Kabeer,Al Fahaheel
,Al Dasma,Al Jahra New,Al Farwaniya,Salwa,,Al Ahmadi
,Al Da'iyah,Kazmah,Al Hassawi,Janub Al-Surra,,Al Wafrah
,Al Mansuriyah,Saad Al-Abdullah City,Al Shaddadiyah,Al Zahraa,,Al Zour
,Dehayat Abdullah Al-Salem,Al Salami,Al Rabiyah,As Sabeeq,,Al Khairan
,Al Nazha,Al Mutlaa,Al Rahab,Hatteen,,Mina Abdullah
,Al Faihaa,Al Hareer City,Al Roqai,Al Salam,,Al Wafra Agricultural
,Al Shamiyah,Kabad,Al Rey Industrial,Al Shahadaa,,Bnidar
,Al Rawda,Al Rawdatayn,Dehayat Sabah Al-Naser,,,Al Jleai'a
,Al Adailiyah,As Sabiyah,Dehayat Abdullah Al-Mubarak,,,Al Dibaaiyah
,Al Khaldiyah,Jazeera Bubyan,Al Dujaij,,,Dehayat Jaber Al-Ahmad
,Al Qadisiyah,Jazeera Warbah,,,,Dehayat Fahad Al-Ahmad
,Qurtuba,,,,,Al Sha'aybah
,As Surrah,,,,,Waraah
,Al Yarmouk,,,,,Sabah Al-Ahmad City
,Al Shuwaikh,,,,,An Nuwaiseeb
,Ar Ray,,,,,Al Khairan City
,Grenada,,,,,Dehayat Ali Sabah Al-Salem Umm Al-Haiman formerly
,As Salibiya and Al Doha,,,,,Sabah Al-Ahmad Maritime City
,An Nahdah,,,,,
,Jaber Al-Ahmad City,,,,,
,Al Qairawan,,,,,
,Shamal Ghurba Al-Salibiya,,,,,
,Jazeera Filka,,,,,
,Jazeera Kabar,,,,,
,Jazeera Awahah,,,,,
,Jazeera Umm Al-Mardam,,,,,
,Jazeera Miskan,,,,,
,Jazeera Qaruh,,,,,
,Jazeera Umm An-Naml,,,,,
,Jazeera Al Shuwaikh (Aqaz or Al Qurain previously),,,,,,
